"id",""sepal length in cm","sepal width in cm","petal length in cm","petal width in cm"
"record-1",5.1,3.5,1.4,0.2,"setosa"
"record-2",4.9,3.0,1.4,0.2,"setosa"
"record-3",4.7,3.2,1.3,0.2,"setosa"
"record-4",4.6,3.1,1.5,0.2,"setosa"
"record-5",5.0,3.6,1.4,0.2,"setosa"
"record-6",5.4,3.9,1.7,0.4,"setosa"
"record-7",4.6,3.4,1.4,0.3,"setosa"
"record-8",5.0,3.4,1.5,0.2,"setosa"
"record-9",4.4,2.9,1.4,0.2,"setosa"
"record-10",4.9,3.1,1.5,0.1,"setosa"
"record-11",5.4,3.7,1.5,0.2,"setosa"
"record-12",4.8,3.4,1.6,0.2,"setosa"
"record-13",4.8,3.0,1.4,0.1,"setosa"
"record-14",4.3,3.0,1.1,0.1,"setosa"
"record-15",5.8,4.0,1.2,0.2,"setosa"
"record-16",5.7,4.4,1.5,0.4,"setosa"
"record-17",5.4,3.9,1.3,0.4,"setosa"
"record-18",5.1,3.5,1.4,0.3,"setosa"
"record-19",5.7,3.8,1.7,0.3,"setosa"
"record-20",5.1,3.8,1.5,0.3,"setosa"
"record-21",5.4,3.4,1.7,0.2,"setosa"
"record-22",5.1,3.7,1.5,0.4,"setosa"
"record-23",4.6,3.6,1.0,0.2,"setosa"
"record-24",5.1,3.3,1.7,0.5,"setosa"
"record-25",4.8,3.4,1.9,0.2,"setosa"
"record-26",5.0,3.0,1.6,0.2,"setosa"
"record-27",5.0,3.4,1.6,0.4,"setosa"
"record-28",5.2,3.5,1.5,0.2,"setosa"
"record-29",5.2,3.4,1.4,0.2,"setosa"
"record-30",4.7,3.2,1.6,0.2,"setosa"
"record-31",4.8,3.1,1.6,0.2,"setosa"
"record-32",5.4,3.4,1.5,0.4,"setosa"
"record-33",5.2,4.1,1.5,0.1,"setosa"
"record-34",5.5,4.2,1.4,0.2,"setosa"
"record-35",4.9,3.1,1.5,0.1,"setosa"
"record-36",5.0,3.2,1.2,0.2,"setosa"
"record-37",5.5,3.5,1.3,0.2,"setosa"
"record-38",4.9,3.1,1.5,0.1,"setosa"
"record-39",4.4,3.0,1.3,0.2,"setosa"
"record-40",5.1,3.4,1.5,0.2,"setosa"
"record-41",5.0,3.5,1.3,0.3,"setosa"
"record-42",4.5,2.3,1.3,0.3,"setosa"
"record-43",4.4,3.2,1.3,0.2,"setosa"
"record-44",5.0,3.5,1.6,0.6,"setosa"
"record-45",5.1,3.8,1.9,0.4,"setosa"
"record-46",4.8,3.0,1.4,0.3,"setosa"
"record-47",5.1,3.8,1.6,0.2,"setosa"
"record-48",4.6,3.2,1.4,0.2,"setosa"
"record-49",5.3,3.7,1.5,0.2,"setosa"
    "record-50",5.0,3.3,1.4,0.2,"setosa"
"record-51",7.0,3.2,4.7,1.4,"versicolor"
"record-52",6.4,3.2,4.5,1.5,"versicolor"
"record-53",6.9,3.1,4.9,1.5,"versicolor"
"record-54",5.5,2.3,4.0,1.3,"versicolor"
"record-55",6.5,2.8,4.6,1.5,"versicolor"
"record-56",5.7,2.8,4.5,1.3,"versicolor"
"record-57",6.3,3.3,4.7,1.6,"versicolor"
"record-58",4.9,2.4,3.3,1.0,"versicolor"
"record-59",6.6,2.9,4.6,1.3,"versicolor"
